BOOKINGSORDERDATE,BOOKINGSSTATUS,PRODUCTCODE,CUSTOMERNAME,BOOKINGSCOUNTRY,BOOKINGSTERRITORY,BOOKINGSQUANTITYORDERED
7/1/2003 0:00,Shipped,S10_1678,Lyon Souveniers,France,EMEA,7768
8/25/2003 0:00,Shipped,S10_1678,Toys4GrownUps.com,USA,NA,7492
10/10/2003 0:00,Shipped,S10_1678,Corporate Gift Ideas Co.,USA,NA,10410
10/28/2003 0:00,Shipped,S10_1678,Technics Stores Inc.,USA,NA,6958
11/11/2003 0:00,Shipped,S10_1678,Daedalus Designs Imports,France,EMEA,4994
11/18/2003 0:00,Shipped,S10_1678,Herkku Gifts,Norway,EMEA,11024
12/1/2003 0:00,Shipped,S10_1678,Mini Wheels Co.,USA,NA,4336
1/15/2004 0:00,Shipped,S10_1678,Auto Canal Petit,France,EMEA,9416
2/20/2004 0:00,Shipped,S10_1678,"Australian Collectors, Co.",Australia,APAC,7930
4/5/2004 0:00,Shipped,S10_1678,Vitachrome Inc.,USA,NA,4666
5/18/2004 0:00,Shipped,S10_1678,Tekni Collectables Inc.,USA,NA,6376
6/28/2004 0:00,Shipped,S10_1678,Gift Depot Inc.,USA,NA,7352
7/23/2004 0:00,Shipped,S10_1678,La Rochelle Gifts,France,EMEA,8354
8/27/2004 0:00,Shipped,S10_1678,Marta's Replicas Co.,USA,NA,8198
9/30/2004 0:00,Shipped,S10_1678,"Toys of Finland, Co.",Finland,EMEA,5194
10/15/2004 0:00,Shipped,S10_1678,Baane Mini Imports,Norway,EMEA,8788
11/2/2004 0:00,Shipped,S10_1678,Diecast Classics Inc.,USA,NA,8716
11/24/2004 0:00,Shipped,S10_1678,Salzburg Collectables,Austria,EMEA,15474
12/17/2004 0:00,Shipped,S10_1678,Souveniers And Things Co.,Australia,APAC,2902
2/3/2005 0:00,Shipped,S10_1678,La Rochelle Gifts,France,EMEA,1466
3/3/2005 0:00,Shipped,S10_1678,FunGiftIdeas.com,USA,NA,6414
4/8/2005 0:00,Shipped,S10_1678,"UK Collectables, Ltd.",UK,EMEA,4868
5/13/2005 0:00,Disputed,S10_1678,Euro Shopping Channel,Spain,EMEA,15032
1/29/2003 0:00,Shipped,S10_1949,Baane Mini Imports,Norway,EMEA,10808
3/24/2003 0:00,Shipped,S10_1949,"Volvo Model Replicas, Co",Sweden,EMEA,14418
5/28/2003 0:00,Shipped,S10_1949,"Corrida Auto Replicas, Ltd",Spain,EMEA,14658
7/24/2003 0:00,Shipped,S10_1949,Technics Stores Inc.,USA,NA,14748
9/19/2003 0:00,Shipped,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Japan,21986
10/20/2003 0:00,Shipped,S10_1949,Classic Legends Inc.,USA,NA,9720
11/6/2003 0:00,Shipped,S10_1949,"Australian Gift Network, Co",Australia,APAC,16028
11/13/2003 0:00,Shipped,S10_1949,"Classic Gift Ideas, Inc",USA,NA,10744
11/25/2003 0:00,Shipped,S10_1949,"Saveley & Henriot, Co.",France,EMEA,14580
12/5/2003 0:00,Shipped,S10_1949,Canadian Gift Exchange Network,Canada,NA,18128
1/29/2004 0:00,Shipped,S10_1949,West Coast Collectables Co.,USA,NA,12150
3/10/2004 0:00,Shipped,S10_1949,Cambridge Collectables Co.,USA,NA,12926
5/4/2004 0:00,Shipped,S10_1949,Super Scale Inc.,USA,NA,12240
6/15/2004 0:00,Shipped,S10_1949,"Tokyo Collectables, Ltd",Japan,Japan,15360
7/19/2004 0:00,Shipped,S10_1949,Souveniers And Things Co.,Australia,APAC,9810
8/17/2004 0:00,Shipped,S10_1949,Amica Models & Co.,Italy,EMEA,16028
9/8/2004 0:00,Shipped,S10_1949,Scandinavian Gift Ideas,Sweden,EMEA,14272
10/11/2004 0:00,Shipped,S10_1949,Auto Assoc. & Cie.,France,EMEA,20344
10/21/2004 0:00,Shipped,S10_1949,Mini Gifts Distributors Ltd.,USA,NA,23246
11/4/2004 0:00,Shipped,S10_1949,Online Diecast Creations Co.,USA,NA,12000
11/18/2004 0:00,Shipped,S10_1949,Mini Wheels Co.,USA,NA,6006
11/29/2004 0:00,Shipped,S10_1949,"Australian Collectors, Co.",Australia,APAC,7888
12/10/2004 0:00,Shipped,S10_1949,Mini Gifts Distributors Ltd.,USA,NA,11382
1/20/2005 0:00,Shipped,S10_1949,Collectables For Less Inc.,USA,NA,9028
2/17/2005 0:00,Shipped,S10_1949,Corporate Gift Ideas Co.,USA,NA,16508
3/9/2005 0:00,Shipped,S10_1949,"Anna's Decorations, Ltd",Australia,APAC,4832
5/1/2005 0:00,Shipped,S10_1949,Quebec Home Shopping Network,Canada,NA,8280
5/31/2005 0:00,In Process,S10_1949,Euro Shopping Channel,Spain,EMEA,24002
2/24/2003 0:00,Shipped,S10_2016,Land of Toys Inc.,USA,NA,7792
4/29/2003 0:00,Shipped,S10_2016,"Australian Collectors, Co.",Australia,APAC,5586
7/1/2003 0:00,Shipped,S10_2016,Lyon Souveniers,France,EMEA,6614
8/25/2003 0:00,Shipped,S10_2016,Toys4GrownUps.com,USA,NA,10384
10/10/2003 0:00,Shipped,S10_2016,Corporate Gift Ideas Co.,USA,NA,10032
10/28/2003 0:00,Shipped,S10_2016,Technics Stores Inc.,USA,NA,7320
11/11/2003 0:00,Shipped,S10_2016,Daedalus Designs Imports,France,EMEA,9390
11/18/2003 0:00,Shipped,S10_2016,Herkku Gifts,Norway,EMEA,7320
12/1/2003 0:00,Shipped,S10_2016,Mini Wheels Co.,USA,NA,6050
1/12/2004 0:00,Shipped,S10_2016,Osaka Souveniers Co.,Japan,Japan,6018
